Bandwidth,CV_score
117871.6,42036.73
190529.8,42048.53
72966.34,41989.21
45213.36,41891.9
28061.07,41959.11
48486.56,41903.89
41915.07,41883.19
36623.32,41883.61
39394.75,41880.51
39365.6,41880.5
39186.88,41880.49
38207.69,41880.93
39209.43,41880.49
39209.98,41880.49
39209.9,41880.49
39209.9,41880.49
39209.93,41880.49
39209.91,41880.49
39209.9,41880.49
39209.9,41880.49
39209.9,41880.49
39209.9,41880.49
39209.9,41880.49
