ID,Hospital,Doctors,Pop,TrAcc,Popd,Pop65r,Emp3r,IncP
1424,1 ,9 ,6836 ,22 ,0.7764 ,0.3065 ,0.4998,0.9032
1425,0 ,2 ,4770 ,9 ,1.1952 ,0.3784 ,0.6100,0.6059
1427,1 ,4 ,6477 ,30 ,0.4839 ,0.3035 ,0.6888,0.7917
1428,1 ,14 ,12401 ,54 ,0.7366 ,0.2608 ,0.7749,1.0407
1429,1 ,21 ,14352 ,31 ,0.7041 ,0.2891 ,0.6733,0.9351
1430,1 ,5 ,4785 ,14 ,0.3168 ,0.2855 ,0.8186,0.7776
1431,0 ,1 ,2417 ,6 ,0.2391 ,0.3364 ,0.5519,1.4034
1432,1 ,6 ,7684 ,18 ,0.1550 ,0.2937 ,0.7860,0.9425
1433,0 ,3 ,3943 ,8 ,0.8122 ,0.3208 ,0.5791,0.8248
1434,0 ,1 ,3003 ,7 ,0.6354 ,0.3370 ,0.6415,0.8868
1436,1 ,4 ,3316 ,4 ,0.1737 ,0.3067 ,0.8336,0.8013
1437,0 ,1 ,2376 ,10 ,0.1496 ,0.3287 ,0.5852,0.7433
1438,1 ,2 ,4041 ,4 ,0.1427 ,0.3180 ,0.6876,0.9889
1439,1 ,3 ,1952 ,6 ,0.0254 ,0.3268 ,0.7477,0.9682
1452,0 ,2 ,7261 ,15 ,0.5207 ,0.2509 ,0.6850,1.0220
1453,0 ,7 ,9194 ,19 ,1.3395 ,0.1957 ,0.7439,1.1590
1454,0 ,4 ,7473 ,18 ,0.3646 ,0.3165 ,0.6457,0.8844
1455,0 ,2 ,4340 ,20 ,0.4972 ,0.3251 ,0.7134,0.8514
1456,0 ,1 ,3739 ,10 ,0.1497 ,0.3354 ,0.6664,0.8334
1457,1 ,4 ,5176 ,28 ,0.0493 ,0.3155 ,0.7991,0.8348
1458,0 ,3 ,7701 ,21 ,0.3117 ,0.2545 ,0.6026,0.9848
1459,1 ,8 ,11628 ,46 ,0.1717 ,0.3056 ,0.7495,0.9017
1460,1 ,8 ,12352 ,23 ,0.5208 ,0.2213 ,0.8181,1.0910
1461,1 ,2 ,5707 ,20 ,0.5250 ,0.2765 ,0.8020,0.9888
1462,0 ,3 ,2947 ,7 ,0.0443 ,0.2749 ,0.7335,0.9661
1463,0 ,1 ,1819 ,5 ,0.0318 ,0.1732 ,0.8861,0.8736
1464,1 ,3 ,4238 ,10 ,0.1885 ,0.3485 ,0.6580,0.8270
1465,0 ,1 ,3952 ,9 ,0.3012 ,0.3041 ,0.8086,0.7108
1468,1 ,3 ,4146 ,6 ,0.0644 ,0.3333 ,0.6366,0.8131
1469,1 ,2 ,5512 ,8 ,0.0820 ,0.3095 ,0.7779,0.8799
1470,0 ,2 ,1070 ,2 ,0.0388 ,0.2542 ,0.8662,1.0290
1471,0 ,1 ,2106 ,1 ,0.0354 ,0.3148 ,0.6718,0.9753
1481,0 ,1 ,5708 ,14 ,0.1544 ,0.3523 ,0.5660,0.8877
1482,0 ,1 ,4272 ,8 ,0.0681 ,0.3109 ,0.6194,0.8837
1483,1 ,3 ,4202 ,4 ,0.0924 ,0.3287 ,0.6978,0.8967
1484,2 ,16 ,8740 ,7 ,0.1850 ,0.3094 ,0.7279,1.0256
1485,0 ,1 ,1511 ,4 ,0.0540 ,0.3236 ,0.6784,0.9934
1486,1 ,1 ,3421 ,8 ,0.0579 ,0.3075 ,0.6933,0.8398
1487,1 ,4 ,4030 ,10 ,0.1141 ,0.2620 ,0.7296,1.1199
1488,1 ,2 ,2784 ,8 ,0.0485 ,0.2274 ,0.7536,1.2953
1511,1 ,2 ,2940 ,6 ,0.0498 ,0.2122 ,0.4090,1.8068
1512,1 ,2 ,4582 ,8 ,0.1141 ,0.2414 ,0.6904,1.2119
1513,1 ,2 ,2289 ,3 ,0.0574 ,0.2914 ,0.8170,0.9712
1514,2 ,7 ,9815 ,15 ,0.0880 ,0.2511 ,0.6459,1.3418
1516,1 ,3 ,4850 ,13 ,0.0931 ,0.2462 ,0.7628,1.0243
1517,0 ,1 ,3410 ,2 ,0.4193 ,0.3009 ,0.7733,1.1616
1518,1 ,5 ,2951 ,4 ,0.3858 ,0.3372 ,0.7486,1.2647
1519,0 ,1 ,3239 ,4 ,0.3065 ,0.3344 ,0.7348,1.0006
1543,2 ,24 ,22819 ,66 ,0.5206 ,0.2409 ,0.7690,1.1171
1544,1 ,5 ,6222 ,18 ,0.0868 ,0.3361 ,0.5518,1.0522
1545,1 ,6 ,13431 ,25 ,0.1822 ,0.2371 ,0.7151,1.4174
1546,0 ,2 ,5025 ,13 ,0.1248 ,0.2937 ,0.6813,1.1301
1547,1 ,5 ,5753 ,17 ,0.2004 ,0.2925 ,0.6541,1.1834
1549,0 ,2 ,5981 ,18 ,0.3133 ,0.2725 ,0.6730,1.1597
1550,1 ,3 ,3699 ,3 ,0.0701 ,0.3385 ,0.7002,1.0305
1552,1 ,4 ,6393 ,13 ,0.1579 ,0.2933 ,0.6005,1.1999
1555,4 ,55 ,23648 ,40 ,0.1775 ,0.2790 ,0.7824,1.0727
1558,2 ,4 ,5841 ,10 ,0.3619 ,0.3077 ,0.5991,0.9476
1559,0 ,0 ,4917 ,20 ,0.1428 ,0.2811 ,0.4962,1.1070
1560,1 ,2 ,3366 ,7 ,0.0439 ,0.3624 ,0.6573,0.9412
1561,1 ,3 ,4589 ,11 ,0.1266 ,0.2574 ,0.5193,1.2271
1562,0 ,1 ,1224 ,3 ,0.0397 ,0.3129 ,0.7023,0.9730
1563,1 ,4 ,5507 ,3 ,0.0864 ,0.2540 ,0.5459,1.1554
1564,1 ,3 ,8392 ,12 ,0.2442 ,0.2662 ,0.7863,1.2710
1571,1 ,3 ,4771 ,11 ,0.2043 ,0.3211 ,0.7277,0.8591
1575,1 ,13 ,3473 ,19 ,0.1694 ,0.3507 ,0.8913,0.8195
1578,2 ,14 ,20748 ,57 ,0.4873 ,0.2835 ,0.6240,1.0030
1581,0 ,2 ,5240 ,11 ,0.1295 ,0.2941 ,0.6076,0.9796
1584,3 ,21 ,11343 ,27 ,0.6283 ,0.3047 ,0.7641,0.9203
1585,1 ,7 ,9131 ,20 ,0.3850 ,0.2655 ,0.6825,1.8810
1586,1 ,6 ,10602 ,25 ,0.1487 ,0.2747 ,0.6965,0.9418
1601,3 ,15 ,14730 ,51 ,0.1484 ,0.2449 ,0.6726,1.0536
1602,1 ,4 ,6173 ,11 ,0.0831 ,0.2577 ,0.6406,1.0164
1604,1 ,3 ,6034 ,17 ,0.1030 ,0.2496 ,0.5239,1.0761
1607,1 ,26 ,15698 ,26 ,0.2261 ,0.2193 ,0.6985,1.1494
1608,0 ,1 ,5711 ,9 ,0.1568 ,0.2758 ,0.5885,0.9587
1609,0 ,4 ,5796 ,9 ,0.2041 ,0.2317 ,0.6911,1.0297
1610,3 ,39 ,27265 ,52 ,0.2376 ,0.2421 ,0.7168,1.0433
1631,3 ,38 ,42452 ,156 ,0.9108 ,0.2058 ,0.7393,1.2218
1632,1 ,4 ,6755 ,10 ,0.2607 ,0.2511 ,0.5565,1.2641
1633,1 ,5 ,5229 ,8 ,0.0753 ,0.3006 ,0.6401,1.2436
1634,1 ,5 ,5876 ,8 ,0.1459 ,0.2349 ,0.8367,1.3467
1635,0 ,4 ,7243 ,5 ,0.0681 ,0.2817 ,0.7254,1.0261
1636,2 ,10 ,10464 ,31 ,0.2602 ,0.2780 ,0.6648,1.1560
1637,1 ,15 ,18300 ,58 ,0.3561 ,0.2145 ,0.7387,1.2897
1638,0 ,1 ,3983 ,9 ,0.1361 ,0.2275 ,0.5839,1.2963
1639,0 ,3 ,3326 ,5 ,0.1885 ,0.2505 ,0.7885,1.3722
1641,1 ,10 ,6407 ,12 ,0.0785 ,0.2697 ,0.6278,1.1965
1642,1 ,6 ,8325 ,10 ,0.1396 ,0.2567 ,0.6882,1.0631
1643,1 ,15 ,26868 ,79 ,0.5621 ,0.2259 ,0.6655,1.1393
1644,1 ,7 ,8193 ,22 ,0.2203 ,0.3093 ,0.7302,1.0198
1645,0 ,1 ,3732 ,9 ,0.0696 ,0.3036 ,0.6592,1.1345
1646,1 ,8 ,9072 ,10 ,0.2314 ,0.2923 ,0.7280,1.0916
1647,2 ,7 ,8317 ,17 ,0.0591 ,0.3108 ,0.6978,1.0907
1648,0 ,2 ,2956 ,3 ,0.0486 ,0.3288 ,0.6593,0.9780
1649,0 ,3 ,6068 ,13 ,0.0832 ,0.3021 ,0.6595,0.9975
