ID,X,Y,Z,SPM07
12209030,140.5225,35.93277778,1,0.053
12210010,140.2858333,35.43444444,12,0.057
12211020,140.3544444,35.76638889,40,0.067
12211030,140.3519444,35.835,38,0.06
12211040,140.2963889,35.77416667,25,0.064
12211510,140.3213889,35.77833333,25,0.062
12212040,140.2063889,35.72777778,25,0.069
12212520,140.2169444,35.68416667,20,0.068
12213010,140.3719444,35.555,7,0.068
12214010,140.5780556,35.72055556,46,0.082
12216010,140.0322222,35.68555556,18,0.064
12216020,140.0730556,35.69083333,28,0.06
12216060,140.0025,35.68138889,2,0.067
12216510,140.0108333,35.66972222,4,0.071
12217010,139.9736111,35.86444444,22,0.06
12217020,139.9722222,35.84388889,21,0.074
12217030,139.9636111,35.90027778,19,0.064
12217520,139.9141667,35.89555556,19,0.068
12218010,140.2655556,35.17916667,100,0.057
12219010,140.1241667,35.53583333,4,0.068
12219030,140.09,35.52,4,0.055
12219060,140.0491667,35.47833333,7,0.056
12219090,140.0769444,35.4875,5,0.072
12219110,140.18,35.4975,68,0.054
12219120,140.1508333,35.52361111,30,0.066
12219140,140.0522222,35.44833333,40,0.048
12219180,140.1363889,35.44861111,20,0.058
12219190,140.0680556,35.52666667,2,0.064
12219200,140.115,35.51027778,20,0.053
12219380,140.1463889,35.33388889,45,0.07
12219390,140.1436111,35.40583333,28,0.055
12219510,140.085,35.51722222,3,0.066
12220010,139.9033333,35.85694444,18,0.071
12220020,139.9102778,35.885,17,0.074
12221020,140.0816667,35.71694444,26,0.067
12221030,140.1180556,35.75333333,20,0.072
12221510,140.1133333,35.71638889,25,0.077
12222010,140.0763889,35.86222222,11,0.078
12224040,140.0177778,35.79388889,25,0.082
12224510,140.0077778,35.78388889,15,0.07
12225010,139.9008333,35.33,8,0.06
12225030,139.8844444,35.34361111,25,0.048
12225070,139.9277778,35.30166667,18,0.045
12225080,139.8658333,35.34305556,2,0.064
12225090,140.0533333,35.32277778,34,0.047
12225120,139.9691667,35.30444444,26,0.049
12226010,139.8533333,35.32222222,7,0.064
12226020,139.8244444,35.3125,5,0.052
12226030,139.8611111,35.275,12,0.06
12226040,139.8811111,35.26055556,18,0.043
12226050,139.8775,35.22527778,41,0.063
12226080,139.8216667,35.16888889,8,0.029
12226100,139.8580556,35.33166667,4,0.06
12227510,139.9108333,35.65555556,2,0.065
12228010,140.1716667,35.66944444,25,0.078
12230010,140.3119444,35.67305556,40,0.065
12301020,139.9058333,35.65888889,1,0.052
12303010,139.8138889,36.0475,10,0.096
12305510,140.0013889,35.84194444,20,0.056
12326010,140.0441667,35.79916667,18,0.063
12327010,140.1322222,35.79444444,25,0.073
12329010,140.2461111,35.84694444,12,0.072
12343010,140.4208333,35.8525,40,0.068
12344020,140.6027778,35.84777778,3,0.078
12345020,140.6055556,35.78972222,45,0.062
12408010,140.4844444,35.655,6,0.061
12409010,140.4033333,35.71777778,41,0.068
12421020,140.38,35.34805556,6,0.064
12463010,139.8352778,35.11055556,5,0.063
12481010,139.9538889,35.42888889,4,0.067
12481040,140.0297222,35.45638889,41,0.052
12481050,140.0025,35.41694444,11,0.058
12481060,140.0194444,35.43333333,50,0.058
12481070,140.0080556,35.36472222,24,0.055
12481080,140.0336111,35.39027778,17,0.058
12481090,140.0688889,35.42444444,80,0.063
12481160,140.0036111,35.44777778,10,0.052
12481510,139.9702778,35.435,21,0.06
12481520,140.0155556,35.42166667,52,0.072
13101010,139.7677778,35.69277778,2,0.053
13101510,139.7588889,35.67472222,2,0.08
13101520,139.7530556,35.67277778,0,0.06
13101530,139.7527778,35.69055556,0,0.08
13102010,139.7788889,35.65611111,4,0.071
13102510,139.7813889,35.67888889,2,0.071
13103010,139.7316667,35.64138889,28,0.061
13103510,139.7394444,35.63722222,4,0.069
13104010,139.7144444,35.68194444,31,0.058
13104540,139.7152778,35.68472222,0,0.07
13104550,139.7033333,35.71638889,23,0.076
13105530,139.7347222,35.71944444,25,0.068
13106520,139.7930556,35.72916667,3,0.068
13108010,139.8272222,35.69,-2,0.055
13108020,139.7772222,35.63305556,5,0.068
13108520,139.8358333,35.69694444,-3,0.078
13108530,139.8113889,35.65027778,3,0.067
13109010,139.7208333,35.61111111,20,0.077
13109030,139.7513889,35.60083333,5,0.055
13109510,139.7405556,35.61666667,7,0.065
13109520,139.7188889,35.62055556,24,0.065
13110010,139.6819444,35.61944444,38,0.063
13110510,139.6894444,35.6525,20,0.071
13110530,139.6788889,35.62305556,38,0.08
13111010,139.7397222,35.55722222,3,0.063
13111520,139.71,35.59611111,22,0.075
13111530,139.6933333,35.60138889,20,0.059
13111540,139.6863889,35.57277778,10,0.068
13112010,139.6530556,35.64666667,35,0.057
13112020,139.5936111,35.65222222,40,0.058
13112510,139.6636111,35.63527778,33,0.07
13112520,139.6133333,35.665,43,0.067
13113010,139.6983333,35.66388889,33,0.071
13113510,139.6613889,35.6725,39,0.066
13114010,139.6427778,35.72027778,42,0.057
13114510,139.6827778,35.70027778,25,0.06
13115010,139.6019444,35.69027778,48,0.081
13115550,139.6191667,35.71916667,45,0.06
13116530,139.7261111,35.74194444,26,0.064
13117520,139.7355556,35.76638889,1,0.067
13118010,139.7888889,35.73305556,2,0.071
13119010,139.7069444,35.75388889,29,0.057
13119510,139.7052778,35.76111111,28,0.07
13120010,139.6638889,35.76527778,31,0.061
13120020,139.5991667,35.73638889,45,0.082
13120030,139.6536111,35.74333333,38,0.069
13121010,139.7761111,35.77972222,1,0.06
13121020,139.8258333,35.77027778,0,0.055
13121510,139.8033333,35.775,1,0.069
13122010,139.8772222,35.74444444,2,0.059
13122020,139.8688889,35.78611111,2,0.057
13122520,139.8561111,35.75777778,0,0.066
13123010,139.885,35.70888889,1,0.054
13123020,139.8775,35.68194444,0,0.062
13123030,139.8694444,35.65333333,0,0.052
13201020,139.3397222,35.64527778,127,0.047
13201040,139.29,35.62611111,195,0.061
13201060,139.2930556,35.67166667,145,0.047
13201070,139.2811111,35.69583333,163,0.06
13201510,139.3202778,35.66194444,122,0.053
13201530,139.3825,35.62861111,96,0.056
13202010,139.4188889,35.69361111,79,0.07
13203010,139.5561111,35.71305556,56,0.055
13203510,139.5369444,35.71083333,62,0.064
13204510,139.5605556,35.6925,5,0.07
13205010,139.2752778,35.78833333,165,0.05
13206010,139.4769444,35.66916667,94,0.055
13208020,139.5544444,35.66638889,54,0.057
13209010,139.4466667,35.54833333,92,0.057
13209020,139.4819444,35.59111111,55,0.055
13210010,139.5025,35.69944444,70,0.055
13211010,139.4761111,35.72777778,79,0.058
13212520,139.4316667,35.65666667,60,0.056
13213510,139.4652778,35.75222222,77,0.066
13215510,139.4322222,35.68194444,68,0.068
13216010,139.5341667,35.72805556,62,0.058
13217010,139.5583333,35.75,56,0.082
13217510,139.5525,35.72555556,60,0.068
13218010,139.335,35.74416667,135,0.054
13219010,139.5702778,35.635,24,0.06
13220010,139.4255556,35.75083333,97,0.053
13221010,139.5205556,35.77972222,47,0.054
13222510,139.5155556,35.75361111,57,0.065
13224010,139.4316667,35.63472222,100,0.054
13303520,139.3361111,35.77555556,142,0.071
14101010,139.6847222,35.50027778,2,0.071
14101020,139.6713889,35.49555556,2,0.073
14101520,139.6747222,35.52277778,4,0.066
14102010,139.6291667,35.47722222,4,0.063
14103010,139.6152778,35.45777778,3,0.068
14103510,139.6116667,35.46555556,2,0.071
14104010,139.6425,35.4475,2,0.059
14104020,139.6480556,35.42,30,0.08
14104030,139.6616667,35.41444444,20,0.071
14105020,139.6088889,35.43277778,3,0.063
14106010,139.5858333,35.45111111,57,0.063
14107010,139.6180556,35.40222222,4,0.071
14107520,139.625,35.42055556,2,0.068
14108020,139.6333333,35.36222222,56,0.073
14109040,139.6333333,35.51916667,6,0.058
14110050,139.5144444,35.39777778,58,0.069
14110510,139.5277778,35.39861111,29,0.063
14111020,139.5705556,35.3875,70,0.068
14111520,139.5905556,35.40111111,11,0.067
14112020,139.5513889,35.47222222,61,0.067
14112510,139.5219444,35.48555556,48,0.063
14113020,139.5269444,35.51611111,50,0.066
14113510,139.5147222,35.54,36,0.068
14113520,139.5680556,35.53611111,58,0.068
14114020,139.4861111,35.4575,61,0.076
14115010,139.5725,35.35861111,88,0.07
14116010,139.4886111,35.4175,30,0.068
14117010,139.5372222,35.5525,9,0.063
14118010,139.5702778,35.54472222,50,0.06
14131010,139.7030556,35.53138889,2,0.065
14131020,139.7338889,35.53194444,1,0.074
14131030,139.7116667,35.515,1,0.067
14131510,139.7033333,35.53055556,2,0.062
14131530,139.7297222,35.52138889,1,0.069
14131540,139.6952778,35.52333333,2,0.069
14132060,139.6858333,35.54416667,3.1,0.064
14132510,139.6913889,35.54388889,4,0.068
14133010,139.6558333,35.57611111,8,0.06
14133520,139.6575,35.56694444,6,0.063
14134010,139.6138889,35.59888889,13,0.063
14134530,139.6141667,35.60833333,14,0.061
14135070,139.5155556,35.60222222,104,0.06
14135080,139.5591667,35.62194444,23,0.061
14135530,139.4972222,35.59138889,37,0.072
14135540,139.57,35.61277778,21,0.06
14136010,139.5861111,35.58944444,45.9,0.059
14136510,139.58,35.585,30,0.072
14201010,139.6733333,35.28083333,2,0.062
14201020,139.6319444,35.31833333,3,0.055
14201040,139.6263889,35.22111111,3,0.063
14201050,139.7061111,35.22638889,3,0.048
14201070,139.6663889,35.25611111,10,0.056
14201520,139.6705556,35.28277778,2,0.061
14203010,139.3488889,35.33555556,6,0.064
14203030,139.3627778,35.37694444,9.5,0.063
14203040,139.3080556,35.33555556,8,0.064
14203050,139.3455556,35.31805556,10,0.066
14203510,139.3561111,35.33305556,6,0.068
14204010,139.5466667,35.31916667,9,0.055
14204520,139.5463889,35.31,4,0.077
14205010,139.4916667,35.33888889,12,0.06
14205030,139.4691667,35.39833333,35,0.059
14205040,139.4161111,35.40305556,30,0.062
14205050,139.4494444,35.34,13.3,0.066
14205510,139.4866667,35.34583333,10,0.057
14206010,139.1519444,35.26444444,14,0.058
14206510,139.1586111,35.25055556,8,0.065
14207010,139.4047222,35.33444444,4,0.059
14207510,139.405,35.33305556,6,0.083
14208020,139.58,35.29555556,5,0.049
14208520,139.58,35.29222222,4,0.077
14209010,139.3730556,35.57194444,125,0.058
14209020,139.4072222,35.52222222,95,0.063
14209030,139.3433333,35.59833333,139,0.047
14209040,139.3344444,35.54833333,89.1,0.064
14209520,139.3922222,35.56444444,118,0.059
14209530,139.3563889,35.54861111,92,0.061
14210010,139.6202778,35.14444444,30,0.056
14211010,139.2197222,35.37472222,107,0.051
14211510,139.2277778,35.37277778,99,0.07
14212020,139.3680556,35.44333333,20,0.063
14212520,139.3675,35.46666667,40,0.07
14212530,139.3586111,35.44722222,22.5,0.066
14213010,139.4577778,35.48722222,70,0.057
14213510,139.4658333,35.47194444,63,0.048
14214020,139.315,35.40277778,25,0.045
14214510,139.2788889,35.38972222,39,0.07
14215010,139.3905556,35.44638889,19,0.058
14216020,139.4075,35.48833333,73,0.038
14217020,139.1152778,35.31083333,30,0.043
14218010,139.4261111,35.43694444,50,0.067
14401010,139.3141667,35.52972222,92,0.064
14422010,139.2527778,35.585,184,0.053
