"ID","X","Y","Z","SPM07"
"215",12481010,10946.4727863,-63353.8891004,4,0.067
"216",12481040,17826.0969183,-60292.0587781,41,0.052
"217",12481050,15362.6429472,-64672.5061894,11,0.058
"218",12481060,16898.0042863,-62851.5992379,50,0.058
"219",12481070,15877.3995309,-70464.9960563,24,0.055
"220",12481080,18193.9499063,-67625.5496952,17,0.058
"221",12481090,21389.68859,-63828.1345893,80,0.063
"222",12481160,15457.6526366,-61251.7568302,10,0.052
"223",12481510,12433.6501023,-62673.9992658,21,0.06
"224",12481520,16547.3053435,-64146.5274853,52,0.072
"225",13101010,-5932.97600273,-34082.8076336,2,0.053
"226",13101510,-6738.96689931,-36085.3556542,2,0.08
"227",13101520,-7267.19370606,-36300.6597343,0,0.06
"228",13101530,-7290.72430847,-34328.3357824,0,0.08
"229",13102010,-4929.64164552,-38151.2919899,4,0.071
"230",13102510,-4701.94465195,-35624.4073012,2,0.071
"231",13103010,-9207.04030476,-39781.2011776,28,0.061
"232",13103510,-8503.12453794,-40244.1573149,4,0.069
"233",13104010,-10761.268183,-35280.1493276,31,0.058
"234",13104540,-10685.4623066,-34972.0675011,0,0.07
"235",13104550,-11761.9339065,-31457.5242002,23,0.076
"236",13105530,-8921.63785173,-31121.8406294,25,0.068
"237",13106520,-3643.60121335,-30046.963556,3,0.068
"238",13108010,-553.095371001,-34392.9437069,-2,0.055
"239",13108020,-5082.01186844,-40709.0209123,5,0.068
"240",13108520,226.242835171,-33622.5263526,-3,0.078
"241",13108530,-1987.0911904,-38799.593811,3,0.067
"242",13109010,-10191.9669593,-43139.1817736,20,0.077
"243",13109030,-7424.7239035,-44282.1405113,5,0.055
"244",13109510,-8404.63882547,-42524.7071786,7,0.065
"245",13109520,-10366.9016356,-42091.2031178,24,0.065
"246",13110010,-13713.6957926,-42209.9502617,38,0.063
"247",13110510,-13028.9355605,-38543.7435378,20,0.071
"248",13110530,-13989.8521225,-41808.8986604,38,0.08
"249",13111010,-8486.40590546,-49119.4216951,3,0.063
"250",13111520,-11175.4982093,-44802.1155246,22,0.075
"251",13111530,-12684.8717929,-44214.5754255,20,0.059
"252",13111540,-13318.8152962,-47387.7858747,10,0.068
"253",13112010,-16325.0789066,-39185.4695432,35,0.057
"254",13112020,-21706.5910327,-38557.6289163,40,0.058
"255",13112510,-15371.4039118,-40450.670634,33,0.07
"256",13112520,-19917.5908874,-37144.2142298,43,0.067
"257",13113010,-12222.3225021,-37281.3827036,33,0.071
"258",13113510,-15565.4408118,-36320.8259888,39,0.066
"259",13114010,-17239.9447859,-31017.1323391,42,0.057
"260",13114510,-13624.4639647,-33242.2750079,25,0.06
"261",13115010,-20942.0755927,-34337.4727812,48,0.081
"262",13115550,-19376.3608209,-31135.9974149,45,0.06
"263",13116530,-9697.98157856,-28624.8065154,26,0.064
"264",13117520,-8841.04578794,-25913.7486359,1,0.067
"265",13118010,-4020.33348844,-29615.3559336,2,0.071
"266",13119010,-11429.8544883,-27297.5850843,29,0.057
"267",13119510,-11579.5253728,-26496.1311406,28,0.07
"268",13120010,-15321.3542806,-26028.187033,31,0.061
"269",13120020,-21181.2698652,-29221.1767356,45,0.082
"270",13120030,-16255.1475653,-28461.1267712,38,0.069
"271",13121010,-5173.16031896,-24437.39849,1,0.06
"272",13121020,-678.118605039,-25486.6843962,0,0.055
"273",13121510,-2712.30505993,-24962.3946834,1,0.069
"274",13122010,3969.51298071,-28351.861131,2,0.059
"275",13122020,3214.13396069,-23729.517389,2,0.057
"276",13122520,2059.78339239,-26873.2652962,0,0.066
"277",13123010,4675.05045187,-32296.1528952,1,0.054
"278",13123020,3997.75855171,-35285.7628646,0,0.062
"279",13123030,3269.77004387,-38460.22781,0,0.052
"280",13201020,-44699.9636694,-39242.3104974,127,0.047
"281",13201040,-49214.4495058,-41344.968495,195,0.061
"282",13201060,-48909.8977379,-36292.4223097,145,0.047
"283",13201070,-49976.1382069,-33605.2714397,163,0.06
"284",13201510,-46451.1546962,-37384.2474572,122,0.053
"285",13201530,-40834.5828036,-41109.9560166,96,0.056
"286",13202010,-37508.1996605,-33913.1868658,79,0.07
"287",13203010,-25083.136352,-31799.700545,56,0.055
"288",13203510,-26818.0933685,-32041.1741812,62,0.064
"289",13204510,-24687.3319607,-34081.3188068,5,0.07
"290",13205010,-50445.6682894,-23339.8911754,165,0.05
"291",13206010,-32263.8554785,-36645.7407684,94,0.055
"292",13208020,-25248.6422939,-36976.5944639,54,0.057
"293",13209010,-35057.5811392,-50040.807341,92,0.057
"294",13209020,-31842.1429131,-45306.9907228,55,0.055
"295",13210010,-29938.9867757,-33294.734924,70,0.055
"296",13211010,-32315.6375151,-30142.973289,79,0.058
"297",13212520,-36368.529831,-38016.7109078,60,0.056
"298",13213510,-33285.4860466,-27427.3914895,77,0.066
"299",13215510,-36306.7842173,-35212.5331466,68,0.068
"300",13216010,-27063.6035721,-30129.7224426,62,0.058
"301",13217010,-24870.5820307,-27701.5263482,56,0.082
"302",13217510,-25405.9020135,-30411.9824921,60,0.068
"303",13218010,-45071.9188441,-28269.062967,135,0.054
"304",13219010,-23824.512868,-40462.8878962,24,0.06
"305",13220010,-36878.4638667,-27567.2698919,97,0.053
"306",13221010,-28276.6285788,-24393.7830794,47,0.054
"307",13222510,-28738.0453051,-27289.2032068,57,0.065
"308",13224010,-36378.4763249,-40451.2772052,100,0.054
"309",13303520,-44953.7628801,-24787.1390004,142,0.071
"310",14101010,-13482.0078949,-55430.670036,2,0.071
"311",14101020,-14692.46623,-55952.6436765,2,0.073
"312",14101520,-14385.19523,-52933.1297586,4,0.066
"313",14102010,-18527.3023434,-57979.4133591,4,0.063
"314",14103010,-19792.4297663,-60133.8518235,3,0.068
"315",14103510,-20118.2653449,-59270.2690276,2,0.071
"316",14104010,-17323.7289817,-61279.162773,2,0.059
"317",14104020,-16825.114111,-64330.9077795,30,0.08
"318",14104030,-15590.1558229,-64949.4580481,20,0.071
"319",14105020,-20378.6379634,-62906.0012099,3,0.063
"320",14106010,-22466.9017583,-60867.1410914,57,0.063
"321",14107010,-19553.7188441,-66297.607324,4,0.071
"322",14107520,-18918.6715197,-64265.1073455,2,0.068
"323",14108020,-18175.0094129,-70737.9894746,56,0.073
"324",14109040,-18139.7676433,-53326.9181641,6,0.058
"325",14110050,-28966.3611779,-66765.247573,58,0.069
"326",14110510,-27754.9287585,-66676.6232147,29,0.063
"327",14111020,-23872.5009536,-67920.4207853,70,0.068
"328",14111520,-22051.8565026,-66415.0865203,11,0.067
"329",14112020,-25586.9257241,-58516.729294,61,0.067
"330",14112510,-28254.4053569,-57029.5152203,48,0.063
"331",14113020,-27790.1936948,-53641.1267642,50,0.066
"332",14113510,-28890.2155044,-50987.386861,36,0.068
"333",14113520,-24055.3327953,-51433.1429054,58,0.068
"334",14114020,-31516.7590107,-60131.1175976,61,0.076
"335",14115010,-23704.3041497,-71125.7266112,88,0.07
"336",14116010,-31305.3178424,-64569.4395568,30,0.068
"337",14117010,-26845.8445969,-49606.99869,9,0.063
"338",14118010,-23851.2741549,-50478.3681517,50,0.06
"339",14131010,-11814.2411042,-51981.5836669,2,0.065
"340",14131020,-9018.05891558,-51923.2089098,1,0.074
"341",14131030,-11035.5860664,-53800.7513609,1,0.067
"342",14131510,-11789.1797562,-52074.0659794,2,0.062
"343",14131530,-9397.14425998,-53093.8442245,1,0.069
"344",14131540,-12520.8229109,-52874.3017965,2,0.069
"345",14132060,-13373.9259562,-50561.8231975,3.1,0.064
"346",14132510,-12870.2400537,-50593.3796602,4,0.068
"347",14133010,-16087.6635991,-47013.4239251,8,0.06
"348",14133520,-15938.4180651,-48030.6466855,6,0.063
"349",14134010,-19883.6551741,-44478.7832303,13,0.063
"350",14134530,-19856.1506142,-43431.065222,14,0.061
"351",14135070,-28792.3747956,-44084.6646403,104,0.06
"352",14135080,-24834.8669962,-41908.5419092,23,0.061
"353",14135530,-30457.5895759,-45281.0077192,37,0.072
"354",14135540,-23856.2726794,-42928.183176,21,0.06
"355",14136010,-22403.2118951,-45520.5908274,45.9,0.059
"356",14136510,-22958.2679864,-46012.2519561,30,0.072
"357",14201010,-14554.5821787,-79773.517759,2,0.062
"358",14201020,-18311.1249645,-75606.5894464,3,0.055
"359",14201040,-18838.7487827,-86390.8638101,3,0.063
"360",14201050,-11580.6518108,-85817.5860362,3,0.048
"361",14201070,-15190.9019987,-82515.0254202,10,0.056
"362",14201520,-14806.9050275,-79557.3995012,2,0.061
"363",14203010,-44038.5200409,-73606.9584382,6,0.064
"364",14203030,-42754.1157825,-69021.4751537,9.5,0.063
"365",14203040,-47750.512888,-73588.0407094,8,0.064
"366",14203050,-44351.0940088,-75546.8658609,10,0.066
"367",14203510,-43383.3153852,-73887.4874162,6,0.068
"368",14204010,-26064.6814946,-75495.0501707,9,0.055
"369",14204520,-26092.8840694,-76511.8881861,4,0.077
"370",14205010,-31057.937461,-73291.2896395,12,0.06
"371",14205030,-33078.9634438,-66689.4153558,35,0.059
"372",14205040,-37896.0690071,-66146.5053744,30,0.062
"373",14205050,-34895.5393758,-73153.9705184,13.3,0.066
"374",14205510,-31509.749371,-72519.3190118,10,0.057
"375",14206010,-61996.2574715,-81390.5052027,14,0.058
"376",14206510,-61400.1519046,-82935.4376695,8,0.065
"377",14207010,-38963.4821471,-73753.6129141,4,0.059
"378",14207510,-38938.8943765,-73907.7998204,6,0.083
"379",14208020,-23040.5938032,-78122.6170956,5,0.049
"380",14208520,-23041.5384666,-78492.4019522,4,0.077
"381",14209010,-41719.4226141,-47392.6892421,125,0.058
"382",14209020,-38646.4046457,-52922.834383,95,0.063
"383",14209030,-44398.8929865,-44452.0681502,139,0.047
"384",14209040,-45232.42142,-49995.0914809,89.1,0.064
"385",14209520,-39985.8830378,-48232.6964277,118,0.059
"386",14209530,-43242.6299431,-49974.12524,92,0.061
"387",14210010,-19413.2829952,-94894.5585298,30,0.056
"388",14211010,-55753.6519443,-69196.8053877,107,0.051
"389",14211510,-55023.0184809,-69417.0269318,99,0.07
"390",14212020,-42239.9220323,-61658.6770986,20,0.063
"391",14212520,-42278.1538903,-59069.8609564,40,0.07
"392",14212530,-43095.2679045,-61223.1690934,22.5,0.066
"393",14213010,-34075.9926564,-56824.355932,70,0.057
"394",14213510,-33351.3842588,-58522.0096208,63,0.048
"395",14214020,-47080.1718581,-66133.8830253,25,0.045
"396",14214510,-50368.291314,-67564.4575144,39,0.07
"397",14215010,-40195.7418905,-61329.0838889,19,0.058
"398",14216020,-38637.4378089,-56682.568801,73,0.038
"399",14217020,-65295.1701594,-76220.705263,30,0.043
"400",14218010,-36972.28267,-62390.7226598,50,0.067
"401",14401010,-47081.816873,-52050.3277331,92,0.064
"402",14422010,-52612.9328438,-45886.6738993,184,0.053
